Date,Open,High,Low,Close
31-12-2010,6105.1,6147.3,6103.55,6134.5
30-12-2010,6062.35,6106.4,6062.35,6101.8
29-12-2010,6005.15,6067.55,6002.85,6060.3
28-12-2010,6005.35,6010.9,5982.25,5996
27-12-2010,6013.3,6045.75,5991.1,5998.1
24-12-2010,5940.25,6017.35,5940.25,6011.6
23-12-2010,6005.9,6006.45,5964.6,5980
22-12-2010,6019,6023.8,5958,5984.4
21-12-2010,5960.4,6007.45,5960.05,6000.6
20-12-2010,5926.85,5985,5900.25,5947
16-12-2010,5910.55,5956.15,5855.05,5948.7
15-12-2010,5931.15,5942.75,5865.8,5892.3
14-12-2010,5928.7,5953.95,5888.75,5944.1
13-12-2010,5882.65,5913.8,5795.9,5907.6
10-12-2010,5761,5865.5,5721.15,5857.3
09-12-2010,5924.25,5927.3,5742.3,5766.5
08-12-2010,5954.4,5960,5878.6,5903.7
07-12-2010,5995.05,6001,5939.7,5976.5
06-12-2010,6033.65,6069.45,5981.7,5992.2
03-12-2010,6013.35,6025.4,5964.25,5992.8
02-12-2010,6023.05,6029.5,5980.6,6011.7
01-12-2010,5871,5971,5865.55,5960.9
30-11-2010,5811.6,5892.25,5768.35,5862.7
29-11-2010,5789.95,5843.15,5754.7,5830
26-11-2010,5828.55,5838.5,5690.35,5751.9
25-11-2010,5883.95,5907.1,5780.35,5799.7
24-11-2010,5946.8,5976.65,5833.6,5865.7
23-11-2010,5971.55,5973.35,5824.95,5934.7
22-11-2010,5920.9,6020.25,5905.15,6010
19-11-2010,6011.3,6013.25,5863.95,5890.3
18-11-2010,6075.95,6076.2,5906.75,5998.8
16-11-2010,6143.45,6144.05,5970.6,5988.7
15-11-2010,6079.9,6128.75,6039.4,6121.6
12-11-2010,6182.3,6202.5,6056.75,6071.6
11-11-2010,6286.35,6296.55,6179.5,6194.2
10-11-2010,6303.2,6307.65,6269.25,6275.7
09-11-2010,6281,6310.9,6243.55,6301.5
08-11-2010,6335.25,6335.9,6265.35,6273.2
05-11-2010,6321.85,6338.5,6303.1,6312.4
04-11-2010,6209.6,6290.15,6199.35,6281.8
03-11-2010,6150.6,6182.5,6146.8,6160.5
02-11-2010,6127.55,6138.1,6094.4,6119
01-11-2010,6092.3,6132.4,6084.75,6117.5
29-10-2010,6021.15,6032.65,5937.1,6017.7
28-10-2010,6039.95,6071.1,5968.1,5987.7
27-10-2010,6075.45,6075.95,5987.55,6012.6
26-10-2010,6116.3,6120.25,6074.65,6082
25-10-2010,6101.25,6151.3,6094.6,6105.8
22-10-2010,6113.4,6121.1,6041.35,6066
21-10-2010,6008.9,6113.5,5984.9,6101.5
20-10-2010,6002.95,6038.1,5966.75,5982.1
19-10-2010,6114.45,6127.05,6008.15,6027.3
18-10-2010,6112.75,6115.1,5985.1,6075.9
15-10-2010,6175.9,6200.6,6050.35,6062.6
14-10-2010,6234.3,6284.1,6157.9,6177.3
13-10-2010,6091.45,6240.25,6089.75,6233.9
12-10-2010,6135.95,6144.95,6057.95,6090.9
11-10-2010,6105.95,6187.75,6105.95,6135.8
08-10-2010,6121.4,6148.6,6067,6103.4
07-10-2010,6186.85,6199.45,6107.5,6120.3
06-10-2010,6150.95,6223.4,6148.6,6186.4
05-10-2010,6159.45,6188.35,6118.05,6145.8
04-10-2010,6144.7,6222.1,6144.7,6159.4
01-10-2010,6030.3,6153.1,6030.3,6143.4
30-09-2010,5991.35,6048.45,5963.6,6029.9
29-09-2010,6029.15,6071.55,5979.65,5991.3
28-09-2010,6036.05,6049.8,5991.3,6029.5
27-09-2010,6018.3,6073.5,6018.3,6035.6
24-09-2010,5959.45,6029.1,5951.2,6018.3
23-09-2010,5991.05,6006.8,5932.4,5959.5
22-09-2010,6008.4,6037.4,5946.45,5991
21-09-2010,5980.5,6032.8,5961.85,6009
20-09-2010,5885.05,5989.5,5885.05,5980.4
